Full Name,Gender,Nationality,Age Group,Course,Semester,Subjects Enrolled,Study Preference,Availability,Learning Style,Motivational Factors,Preferred Study Environment,Strengths,Hobbies,Interests Outside of Academics,Future Career Aspirations,Preferred Communication Channels,Proficiency in Tools/Technologies,Location Preference,Preferred Study Partner Personality,Past Group Project Experience,Willingness to Mentor Others
Alexis Simmons MD,Female,UK,18-21,Bachelor's,Sem 4,"Economics, Political Science, Computer Science, Sociology",Individual,"Sun (8am-10am), Wed (2pm-6pm), Tue (9am-10am)",Auditory,Deadlines,Group Study Rooms,Research,Hiking,Environmental Activism,Project Manager,In-Person,Editing Tools,Online,Focused,Yes,No
Michael York,Binary,France,25+,Bachelor's,Sem 3,"Engineering Fundamentals, Psychology, Geography, Economics",Group,"Sun (4pm-6pm), Wed (11am-3pm), Tue (8am-12pm)",Visual,Collaboration,Library,Problem-Solving,Yoga,Independent Music,Business Analyst,In-Person,Power Point,In-person,Focused,No,Yes
Mark Gomez,Non-Binary,Ireland,18-21,Master's,Sem 6,"Architecture, Machine Learning, Marketing, Education Leadership",Group,"Sun (9am-1pm), Wed (1pm-3pm), Tue (11am-2pm)",Reading/Writing,Personal Goals,Quiet Spaces,Time Management,Gaming,Philosophy,Supply Chain Manager,WhatsApp,Python,In-person,Collaborative,Yes,No
Matthew Morgan,Male,Nigeria,25+,Bachelor's,Sem 8,"Mathematics, Economics, Chemistry, Political Science",Group,"Sun (5pm-9pm), Wed (5pm-6pm), Tue (8am-12pm)",Kinesthetic,Competition,Quiet Spaces,Problem-Solving,Dance,Philosophy,Supply Chain Manager,Email,Excel,In-person,Focused,Yes,No
Timothy Simpson,Prefer Not to Say,Germany,21-25,Bachelor's,Sem 4,"Geography, Computer Science, Engineering Fundamentals, Physics",Individual,"Sun (10am-12pm), Wed (12pm-3pm), Tue (2pm-3pm)",Visual,Competition,Cafes,Problem-Solving,Hiking,Art Exhibitions,Data Scientist,In-Person,Adobe Illustration,Online,Relaxed,Yes,Yes
Elizabeth Livingston,Non-Binary,UK,21-25,Master's,Sem 1,"Environmental Science, Degin Futere, Artificial Intelligence, Cybersecurity",Individual,"Sun (11am-1pm), Wed (1pm-3pm), Tue (10am-1pm)",Reading/Writing,Competition,Quiet Spaces,Research,Dance,Open Source Contributions,Data Scientist,WhatsApp,SQL,In-person,Focused,Yes,No
Mary Garcia,Female,Canada,21-25,Bachelor's,Sem 2,"Engineering Fundamentals, Economics, Geography, Chemistry",Group,"Sun (4pm-7pm), Wed (2pm-6pm), Tue (1pm-2pm)",Reading/Writing,Collaboration,Group Study Rooms,Presentation,Sports,Renewable Energy,Project Manager,In-Person,Power Point,In-person,Focused,Yes,No
Michael Rangel,Female,Brazil,18-21,Master's,Sem 4,"Artificial Intelligence, Machine Learning, Environmental Science, Degin Futere",Group,"Sun (5pm-8pm), Wed (4pm-8pm), Tue (12pm-1pm)",Auditory,Collaboration,Quiet Spaces,Research,Photography,Travel,Software Engineer,WhatsApp,Python,In-person,Relaxed,Yes,No
Matthew Walls,Binary,Mexico,21-25,Master's,Sem 8,"Artificial Intelligence, Urban Development, Cybersecurity, Business Administration",Group,"Sun (4pm-8pm), Wed (8am-12pm), Tue (12pm-1pm)",Reading/Writing,Collaboration,Cafes,Research,Sports,Volunteering,Business Analyst,WhatsApp,Editing Tools,In-person,Focused,Yes,No
Beth Miller,Female,New Zealand,25+,Bachelor's,Sem 8,"Geography, Computer Science, Psychology, History",Individual,"Sun (3pm-7pm), Wed (10am-11am), Tue (3pm-5pm)",Visual,Competition,Group Study Rooms,Presentation,Music,Digital Marketing,Data Scientist,Email,SQL,Online,Relaxed,Yes,No
Karen Miller,Prefer Not to Say,South Africa,18-21,Master's,Sem 5,"Environmental Science, Data Science, Finance, Education Leadership",Individual,"Sun (5pm-7pm), Wed (5pm-6pm), Tue (9am-12pm)",Visual,Deadlines,Library,Presentation,Photography,Travel,Project Manager,In-Person,Office 365,In-person,Relaxed,Yes,Yes
Stacie Obrien,Binary,Germany,25+,Master's,Sem 1,"Degin Futere, Mechanical Engineering, Marketing, Cybersecurity",Group,"Sun (3pm-7pm), Wed (10am-2pm), Tue (3pm-5pm)",Kinesthetic,Deadlines,Group Study Rooms,Problem-Solving,Yoga,Wildlife Conservation,Project Manager,Email,Python,In-person,Relaxed,Yes,Yes
Rebecca Rogers,Male,Nigeria,18-21,Bachelor's,Sem 2,"Computer Science, Physics, Sociology, Chemistry",Individual,"Sun (9am-11am), Wed (8am-12pm), Tue (1pm-3pm)",Reading/Writing,Deadlines,Group Study Rooms,Time Management,Reading,Cultural Studies,Software Engineer,WhatsApp,SQL,In-person,Collaborative,No,No
Susan Black,Female,UK,25+,Master's,Sem 3,"Finance, Education Leadership, Machine Learning, Environmental Science",Group,"Sun (9am-11am), Wed (5pm-6pm), Tue (1pm-5pm)",Kinesthetic,Personal Goals,Quiet Spaces,Problem-Solving,Dance,Art Exhibitions,Software Engineer,Email,Editing Tools,In-person,Relaxed,No,Yes
April Gomez,Female,Brazil,18-21,Bachelor's,Sem 4,"Political Science, Biology, Psychology, Mathematics",Group,"Sun (2pm-6pm), Wed (12pm-4pm), Tue (1pm-4pm)",Auditory,Deadlines,Group Study Rooms,Problem-Solving,Painting,Art Exhibitions,Project Manager,Slack,Adobe Illustration,In-person,Competitive,Yes,Yes
Jenny Parsons,Prefer Not to Say,Mexico,21-25,Bachelor's,Sem 6,"Sociology, History, Psychology, Political Science",Individual,"Sun (4pm-6pm), Wed (2pm-6pm), Tue (12pm-3pm)",Auditory,Deadlines,Library,Time Management,Chess,Wildlife Conservation,Data Scientist,Email,SQL,Online,Focused,No,No
Yvonne Santos,Prefer Not to Say,South Africa,25+,Bachelor's,Sem 4,"Chemistry, History, Geography, Literature",Individual,"Sun (4pm-5pm), Wed (3pm-4pm), Tue (3pm-4pm)",Reading/Writing,Competition,Group Study Rooms,Presentation,Chess,Financial Literacy Education,Project Manager,Email,Editing Tools,Online,Focused,No,No
Keith Davidson,Prefer Not to Say,USA,21-25,Bachelor's,Sem 5,"Sociology, Engineering Fundamentals, Geography, Political Science",Group,"Sun (4pm-5pm), Wed (8am-12pm), Tue (3pm-7pm)",Reading/Writing,Deadlines,Group Study Rooms,Presentation,Painting,Financial Literacy Education,Supply Chain Manager,WhatsApp,Excel,Online,Relaxed,Yes,Yes
Travis Douglas,Male,South Africa,18-21,Bachelor's,Sem 7,"Sociology, History, Mathematics, Literature",Individual,"Sun (1pm-5pm), Wed (12pm-2pm), Tue (8am-11am)",Reading/Writing,Competition,Group Study Rooms,Time Management,Writing,Independent Music,Business Analyst,WhatsApp,Animation Tools,In-person,Competitive,Yes,Yes
Joseph Chapman,Non-Binary,France,21-25,Master's,Sem 3,"Business Administration, Machine Learning, International Business, Finance",Group,"Sun (1pm-2pm), Wed (10am-11am), Tue (8am-11am)",Auditory,Deadlines,Library,Presentation,Photography,Language Learning,Project Manager,WhatsApp,Python,In-person,Focused,Yes,Yes
Lance Harris,Female,Ireland,25+,Master's,Sem 7,"Marketing, Degin Futere, Business Administration, Environmental Science",Group,"Sun (2pm-3pm), Wed (3pm-6pm), Tue (9am-1pm)",Visual,Competition,Quiet Spaces,Presentation,Running,Community Service,Business Analyst,WhatsApp,Excel,Online,Focused,No,No
Todd Leach,Female,China,21-25,Master's,Sem 1,"International Relations, Machine Learning, Cybersecurity, International Business",Group,"Sun (11am-2pm), Wed (5pm-9pm), Tue (3pm-5pm)",Reading/Writing,Personal Goals,Cafes,Research,Running,Philosophy,Data Scientist,Slack,SQL,Online,Relaxed,No,No
April Huynh,Binary,South Africa,25+,Master's,Sem 6,"Architecture, International Business, Business Administration, Artificial Intelligence",Group,"Sun (2pm-4pm), Wed (9am-12pm), Tue (8am-11am)",Visual,Personal Goals,Library,Research,Cycling,Mental Health Advocacy,Software Engineer,In-Person,Python,In-person,Collaborative,No,No
Taylor Mitchell,Male,Australia,25+,Bachelor's,Sem 6,"Psychology, Engineering Fundamentals, Literature, Sociology",Individual,"Sun (3pm-7pm), Wed (12pm-4pm), Tue (9am-1pm)",Kinesthetic,Deadlines,Quiet Spaces,Research,Music,Philosophy,Data Scientist,In-Person,Python,Online,Focused,Yes,No
Amy Peters,Binary,Canada,21-25,Bachelor's,Sem 8,"Biology, Chemistry, Engineering Fundamentals, Sociology",Group,"Sun (1pm-3pm), Wed (4pm-7pm), Tue (4pm-8pm)",Auditory,Personal Goals,Library,Presentation,Cooking,Community Service,Business Analyst,Slack,Python,In-person,Focused,No,No
Adam Ward,Non-Binary,France,25+,Bachelor's,Sem 4,"Literature, Engineering Fundamentals, Sociology, Economics",Individual,"Sun (12pm-1pm), Wed (11am-12pm), Tue (9am-1pm)",Auditory,Deadlines,Quiet Spaces,Analytical Thinking,Gaming,Tech Entrepreneurship,Data Scientist,WhatsApp,Editing Tools,In-person,Relaxed,Yes,Yes
Jessica Barton,Prefer Not to Say,New Zealand,18-21,Bachelor's,Sem 7,"Geography, Economics, Chemistry, Political Science",Individual,"Sun (5pm-8pm), Wed (11am-3pm), Tue (9am-11am)",Reading/Writing,Competition,Library,Analytical Thinking,Hiking,Financial Literacy Education,Business Analyst,Email,Power Point,Online,Collaborative,No,Yes
Megan Jones,Binary,UK,25+,Master's,Sem 5,"Business Administration, Machine Learning, Degin Futere, Marketing",Group,"Sun (5pm-9pm), Wed (11am-2pm), Tue (1pm-2pm)",Visual,Personal Goals,Cafes,Problem-Solving,Running,Culinary Arts,Software Engineer,Slack,Adobe Illustration,In-person,Competitive,Yes,No
Daniel Parrish,Female,South Africa,21-25,Master's,Sem 8,"Marketing, Cybersecurity, International Relations, Data Science",Group,"Sun (3pm-7pm), Wed (11am-3pm), Tue (1pm-4pm)",Auditory,Collaboration,Group Study Rooms,Time Management,Photography,DJ,Supply Chain Manager,Email,Power Point,In-person,Focused,Yes,Yes
Debbie Price,Non-Binary,Japan,25+,Master's,Sem 4,"Marketing, International Business, Education Leadership, Mechanical Engineering",Individual,"Sun (12pm-4pm), Wed (9am-12pm), Tue (9am-10am)",Visual,Deadlines,Quiet Spaces,Problem-Solving,Running,Art Exhibitions,Project Manager,WhatsApp,Office 365,Online,Competitive,Yes,No
Ashley Simpson,Binary,South Africa,25+,Bachelor's,Sem 4,"Biology, Physics, Economics, Psychology",Individual,"Sun (1pm-2pm), Wed (10am-2pm), Tue (4pm-6pm)",Visual,Competition,Group Study Rooms,Problem-Solving,Photography,Art Exhibitions,Supply Chain Manager,In-Person,Adobe Illustration,Online,Relaxed,Yes,No
Kimberly Smith,Male,France,18-21,Bachelor's,Sem 4,"Economics, Biology, Mathematics, Psychology",Group,"Sun (10am-12pm), Wed (11am-12pm), Tue (4pm-8pm)",Visual,Competition,Quiet Spaces,Presentation,Cooking,Mental Health Advocacy,Software Engineer,Email,Python,Online,Relaxed,No,Yes
Sabrina Lam,Male,USA,25+,Bachelor's,Sem 3,"Sociology, Psychology, History, Literature",Individual,"Sun (9am-10am), Wed (2pm-3pm), Tue (11am-2pm)",Kinesthetic,Personal Goals,Cafes,Analytical Thinking,Hiking,Baking,Software Engineer,Email,Excel,In-person,Relaxed,No,Yes
Stacy Sanders,Male,South Africa,18-21,Master's,Sem 1,"International Business, Artificial Intelligence, Education Leadership, Finance",Group,"Sun (9am-1pm), Wed (12pm-1pm), Tue (10am-11am)",Kinesthetic,Personal Goals,Quiet Spaces,Research,Reading,Travel,Software Engineer,In-Person,SQL,Online,Focused,No,Yes
Lucas Richardson,Binary,China,21-25,Master's,Sem 8,"Artificial Intelligence, Cybersecurity, Machine Learning, International Relations",Group,"Sun (3pm-7pm), Wed (4pm-6pm), Tue (9am-12pm)",Auditory,Personal Goals,Group Study Rooms,Research,Reading,Travel,Supply Chain Manager,Slack,Office 365,In-person,Relaxed,No,Yes
Larry Chapman,Non-Binary,Ireland,21-25,Bachelor's,Sem 7,"Economics, Political Science, Chemistry, Sociology",Individual,"Sun (9am-1pm), Wed (5pm-9pm), Tue (11am-12pm)",Kinesthetic,Competition,Quiet Spaces,Time Management,Running,Tech Entrepreneurship,Project Manager,WhatsApp,Office 365,Online,Collaborative,No,Yes
Jennifer Brown,Prefer Not to Say,India,21-25,Master's,Sem 5,"International Relations, Degin Futere, Data Science, Environmental Science",Group,"Sun (12pm-4pm), Wed (1pm-3pm), Tue (4pm-6pm)",Kinesthetic,Personal Goals,Group Study Rooms,Research,Photography,Volunteering,Business Analyst,Email,Animation Tools,Online,Competitive,Yes,Yes
Claudia Torres,Non-Binary,Ireland,25+,Bachelor's,Sem 6,"Mathematics, Sociology, Geography, Physics",Individual,"Sun (11am-3pm), Wed (5pm-6pm), Tue (9am-12pm)",Visual,Collaboration,Cafes,Time Management,Photography,Culinary Arts,Data Scientist,WhatsApp,Power Point,Online,Focused,No,No
Charles Wheeler,Prefer Not to Say,Nigeria,21-25,Master's,Sem 7,"Business Administration, Cybersecurity, Education Leadership, Architecture",Group,"Sun (9am-10am), Wed (11am-3pm), Tue (5pm-7pm)",Auditory,Personal Goals,Quiet Spaces,Problem-Solving,Painting,DJ,Project Manager,WhatsApp,Office 365,In-person,Relaxed,No,Yes
Maria Martinez MD,Female,Nigeria,18-21,Bachelor's,Sem 8,"Economics, History, Biology, Physics",Group,"Sun (12pm-2pm), Wed (1pm-4pm), Tue (1pm-5pm)",Visual,Competition,Cafes,Problem-Solving,Photography,Environmental Activism,Project Manager,Email,Editing Tools,In-person,Focused,No,No
Andrea Cook,Prefer Not to Say,Japan,18-21,Master's,Sem 4,"Environmental Science, Data Science, Education Leadership, Urban Development",Individual,"Sun (9am-10am), Wed (5pm-9pm), Tue (12pm-3pm)",Auditory,Collaboration,Quiet Spaces,Time Management,Yoga,Baking,Project Manager,In-Person,Animation Tools,In-person,Relaxed,Yes,No
Christopher Foster,Male,New Zealand,25+,Master's,Sem 4,"Environmental Science, International Business, Degin Futere, Machine Learning",Group,"Sun (10am-2pm), Wed (9am-11am), Tue (4pm-8pm)",Visual,Personal Goals,Group Study Rooms,Analytical Thinking,Robotics,Philosophy,Supply Chain Manager,Email,Animation Tools,Online,Competitive,Yes,Yes
Rebecca Combs,Male,South Africa,21-25,Master's,Sem 4,"Education Leadership, Architecture, Marketing, Urban Development",Group,"Sun (1pm-3pm), Wed (1pm-4pm), Tue (8am-10am)",Auditory,Deadlines,Cafes,Problem-Solving,Painting,Digital Marketing,Data Scientist,Slack,Office 365,Online,Collaborative,No,No
Emily Torres,Prefer Not to Say,Ireland,25+,Master's,Sem 2,"Data Science, Machine Learning, Environmental Science, Architecture",Individual,"Sun (4pm-8pm), Wed (12pm-1pm), Tue (5pm-9pm)",Visual,Competition,Group Study Rooms,Time Management,Photography,Philosophy,Supply Chain Manager,In-Person,Animation Tools,Online,Collaborative,No,No
Rebecca Woodard,Non-Binary,Mexico,21-25,Master's,Sem 1,"Degin Futere, International Business, Machine Learning, Architecture",Group,"Sun (2pm-5pm), Wed (8am-10am), Tue (3pm-7pm)",Kinesthetic,Collaboration,Group Study Rooms,Presentation,Cooking,Community Service,Project Manager,In-Person,Excel,In-person,Focused,No,No
Ann Davis,Male,Mexico,18-21,Bachelor's,Sem 8,"History, Economics, Mathematics, Physics",Individual,"Sun (5pm-6pm), Wed (3pm-4pm), Tue (5pm-7pm)",Reading/Writing,Deadlines,Quiet Spaces,Problem-Solving,Yoga,Community Service,Project Manager,In-Person,Python,Online,Focused,No,Yes
Marilyn Martinez,Prefer Not to Say,Nigeria,21-25,Master's,Sem 1,"Cybersecurity, Environmental Science, Data Science, Urban Development",Group,"Sun (11am-2pm), Wed (3pm-5pm), Tue (11am-1pm)",Reading/Writing,Competition,Cafes,Problem-Solving,Chess,Financial Literacy Education,Software Engineer,Email,Animation Tools,In-person,Focused,No,No
Pamela Campbell,Female,Germany,21-25,Master's,Sem 5,"Data Science, Artificial Intelligence, Business Administration, Machine Learning",Group,"Sun (1pm-2pm), Wed (5pm-8pm), Tue (5pm-9pm)",Kinesthetic,Collaboration,Cafes,Time Management,Cooking,Philosophy,Software Engineer,Slack,Excel,In-person,Collaborative,Yes,Yes
Laura Mcdonald,Female,Nigeria,21-25,Bachelor's,Sem 2,"Engineering Fundamentals, Literature, History, Geography",Individual,"Sun (11am-12pm), Wed (8am-12pm), Tue (8am-11am)",Reading/Writing,Collaboration,Library,Problem-Solving,Chess,Culinary Arts,Software Engineer,WhatsApp,Excel,Online,Collaborative,Yes,Yes
Scott Kramer,Binary,Canada,18-21,Master's,Sem 1,"International Business, Education Leadership, Machine Learning, Marketing",Group,"Sun (4pm-6pm), Wed (10am-12pm), Tue (10am-11am)",Reading/Writing,Deadlines,Cafes,Presentation,Running,Mental Health Advocacy,Data Scientist,WhatsApp,Python,In-person,Competitive,No,No
Steven Bennett,Female,Mexico,25+,Bachelor's,Sem 1,"Economics, History, Biology, Psychology",Individual,"Sun (12pm-2pm), Wed (5pm-6pm), Tue (1pm-4pm)",Kinesthetic,Personal Goals,Group Study Rooms,Presentation,Cooking,Philosophy,Data Scientist,WhatsApp,Python,In-person,Focused,No,No
Erika Greene,Non-Binary,Ireland,18-21,Master's,Sem 2,"Mechanical Engineering, Artificial Intelligence, International Business, Finance",Individual,"Sun (9am-10am), Wed (12pm-3pm), Tue (10am-2pm)",Kinesthetic,Deadlines,Quiet Spaces,Analytical Thinking,Sports,Travel,Business Analyst,In-Person,Animation Tools,In-person,Relaxed,No,Yes
Karen Martin,Male,China,18-21,Master's,Sem 5,"Data Science, Architecture, International Relations, International Business",Individual,"Sun (9am-12pm), Wed (10am-12pm), Tue (4pm-8pm)",Reading/Writing,Collaboration,Group Study Rooms,Time Management,Chess,Baking,Data Scientist,Slack,Adobe Illustration,In-person,Collaborative,Yes,Yes
Hannah Rogers,Prefer Not to Say,Germany,18-21,Bachelor's,Sem 8,"Physics, Literature, Sociology, Computer Science",Individual,"Sun (3pm-6pm), Wed (12pm-1pm), Tue (4pm-8pm)",Visual,Personal Goals,Group Study Rooms,Time Management,Running,Art Exhibitions,Business Analyst,Slack,SQL,In-person,Competitive,No,No
Jeffrey Atkinson,Female,Ireland,18-21,Master's,Sem 1,"Business Administration, Data Science, International Relations, International Business",Individual,"Sun (4pm-7pm), Wed (11am-1pm), Tue (1pm-4pm)",Visual,Competition,Library,Research,Yoga,Cultural Studies,Business Analyst,Slack,Adobe Illustration,Online,Competitive,No,Yes
Kent Johnson,Binary,Nigeria,18-21,Bachelor's,Sem 3,"Biology, Political Science, Geography, Engineering Fundamentals",Group,"Sun (4pm-7pm), Wed (2pm-6pm), Tue (11am-2pm)",Auditory,Personal Goals,Group Study Rooms,Presentation,Reading,Renewable Energy,Data Scientist,WhatsApp,Python,In-person,Competitive,No,Yes
Kimberly Shaw,Binary,China,25+,Bachelor's,Sem 8,"Physics, Engineering Fundamentals, Mathematics, Literature",Group,"Sun (12pm-1pm), Wed (2pm-4pm), Tue (9am-1pm)",Auditory,Collaboration,Library,Research,Hiking,Art Exhibitions,Business Analyst,In-Person,Excel,Online,Relaxed,Yes,No
Angela Craig,Prefer Not to Say,Brazil,25+,Master's,Sem 3,"Cybersecurity, Machine Learning, Architecture, Marketing",Group,"Sun (4pm-5pm), Wed (12pm-4pm), Tue (11am-3pm)",Visual,Deadlines,Library,Analytical Thinking,Sports,Travel,Data Scientist,In-Person,Power Point,In-person,Focused,Yes,Yes
Jill Williams,Female,Ireland,18-21,Bachelor's,Sem 2,"Political Science, Chemistry, Engineering Fundamentals, Physics",Individual,"Sun (12pm-3pm), Wed (11am-3pm), Tue (11am-2pm)",Auditory,Competition,Cafes,Time Management,Reading,Baking,Project Manager,WhatsApp,Editing Tools,In-person,Relaxed,Yes,Yes
Joe Carter,Female,Germany,18-21,Master's,Sem 4,"International Relations, Architecture, International Business, Artificial Intelligence",Group,"Sun (10am-12pm), Wed (2pm-4pm), Tue (1pm-2pm)",Visual,Collaboration,Group Study Rooms,Time Management,Cooking,Volunteering,Project Manager,Slack,SQL,Online,Collaborative,Yes,No
Nicole Ball,Female,Nigeria,25+,Master's,Sem 1,"Business Administration, Urban Development, International Business, Machine Learning",Group,"Sun (9am-11am), Wed (12pm-1pm), Tue (10am-1pm)",Kinesthetic,Collaboration,Library,Research,Gaming,Travel,Software Engineer,Email,Excel,Online,Competitive,Yes,No
Tina Hartman,Binary,Brazil,21-25,Bachelor's,Sem 4,"Geography, Sociology, Chemistry, Computer Science",Individual,"Sun (1pm-4pm), Wed (10am-12pm), Tue (8am-11am)",Auditory,Competition,Library,Time Management,Reading,Open Source Contributions,Data Scientist,Email,Editing Tools,In-person,Focused,Yes,Yes
Anna Edwards,Female,South Africa,18-21,Bachelor's,Sem 4,"Chemistry, Literature, Biology, Mathematics",Individual,"Sun (9am-12pm), Wed (9am-1pm), Tue (8am-9am)",Reading/Writing,Personal Goals,Quiet Spaces,Presentation,Music,Mental Health Advocacy,Project Manager,WhatsApp,Animation Tools,In-person,Focused,Yes,No
Angela Mccormick,Female,Australia,25+,Bachelor's,Sem 3,"Psychology, Engineering Fundamentals, Chemistry, Literature",Individual,"Sun (2pm-5pm), Wed (2pm-5pm), Tue (2pm-6pm)",Visual,Competition,Library,Research,Reading,Renewable Energy,Data Scientist,In-Person,SQL,Online,Focused,No,Yes
April Jones,Female,India,21-25,Master's,Sem 5,"Business Administration, Cybersecurity, Data Science, Degin Futere",Individual,"Sun (10am-12pm), Wed (1pm-3pm), Tue (5pm-8pm)",Reading/Writing,Deadlines,Quiet Spaces,Problem-Solving,Music,Art Exhibitions,Business Analyst,Email,Python,Online,Collaborative,Yes,No
Thomas Spencer,Prefer Not to Say,UK,21-25,Bachelor's,Sem 1,"Psychology, Engineering Fundamentals, Political Science, Economics",Individual,"Sun (11am-2pm), Wed (1pm-2pm), Tue (12pm-4pm)",Kinesthetic,Personal Goals,Cafes,Analytical Thinking,Reading,Baking,Business Analyst,In-Person,Excel,In-person,Relaxed,Yes,Yes
Charles Simon,Binary,South Africa,25+,Bachelor's,Sem 1,"Biology, Geography, Sociology, Engineering Fundamentals",Individual,"Sun (12pm-4pm), Wed (11am-3pm), Tue (5pm-6pm)",Kinesthetic,Deadlines,Cafes,Time Management,Painting,DJ,Software Engineer,WhatsApp,Adobe Illustration,In-person,Competitive,Yes,No
David Poole,Male,New Zealand,25+,Bachelor's,Sem 7,"Engineering Fundamentals, Psychology, Economics, Geography",Group,"Sun (1pm-4pm), Wed (3pm-5pm), Tue (2pm-5pm)",Visual,Personal Goals,Library,Analytical Thinking,Gaming,Culinary Arts,Project Manager,In-Person,Python,Online,Collaborative,No,Yes
Rita Moody,Non-Binary,Mexico,21-25,Master's,Sem 1,"Marketing, Education Leadership, Degin Futere, Business Administration",Individual,"Sun (9am-10am), Wed (11am-12pm), Tue (9am-1pm)",Visual,Competition,Cafes,Analytical Thinking,Cooking,Financial Literacy Education,Supply Chain Manager,In-Person,Python,Online,Relaxed,No,No
Jose Gutierrez,Male,Japan,18-21,Bachelor's,Sem 8,"Literature, Biology, Chemistry, History",Group,"Sun (4pm-6pm), Wed (9am-10am), Tue (11am-12pm)",Kinesthetic,Deadlines,Library,Time Management,Dance,DJ,Business Analyst,Slack,Office 365,Online,Competitive,Yes,No
Rebecca Nielsen,Non-Binary,South Africa,21-25,Master's,Sem 6,"Environmental Science, Mechanical Engineering, International Business, Data Science",Group,"Sun (12pm-1pm), Wed (10am-12pm), Tue (3pm-6pm)",Kinesthetic,Deadlines,Library,Analytical Thinking,Cycling,Independent Music,Business Analyst,WhatsApp,Animation Tools,In-person,Competitive,No,No
Patrick Munoz,Female,Germany,25+,Bachelor's,Sem 2,"Engineering Fundamentals, Literature, Chemistry, Economics",Individual,"Sun (9am-12pm), Wed (5pm-6pm), Tue (4pm-5pm)",Visual,Competition,Cafes,Research,Dance,Open Source Contributions,Business Analyst,Slack,SQL,In-person,Collaborative,Yes,Yes
Heidi Roberts,Female,Australia,18-21,Bachelor's,Sem 4,"Chemistry, Biology, Geography, Physics",Group,"Sun (2pm-3pm), Wed (4pm-5pm), Tue (11am-3pm)",Auditory,Personal Goals,Cafes,Presentation,Gaming,Open Source Contributions,Project Manager,In-Person,Editing Tools,In-person,Focused,Yes,Yes
Tammy Coleman,Non-Binary,USA,21-25,Bachelor's,Sem 7,"Mathematics, Biology, Economics, Computer Science",Individual,"Sun (1pm-3pm), Wed (12pm-1pm), Tue (2pm-6pm)",Reading/Writing,Deadlines,Quiet Spaces,Problem-Solving,Painting,Environmental Activism,Project Manager,WhatsApp,Animation Tools,Online,Relaxed,Yes,No
Danielle Wallace,Prefer Not to Say,Japan,18-21,Bachelor's,Sem 6,"Economics, Biology, Political Science, Geography",Group,"Sun (11am-1pm), Wed (2pm-6pm), Tue (5pm-7pm)",Auditory,Competition,Group Study Rooms,Research,Painting,Art Exhibitions,Supply Chain Manager,In-Person,SQL,Online,Competitive,No,No
Sherri Taylor,Prefer Not to Say,Australia,25+,Master's,Sem 6,"Environmental Science, Degin Futere, Finance, Mechanical Engineering",Individual,"Sun (12pm-4pm), Wed (2pm-5pm), Tue (3pm-7pm)",Reading/Writing,Deadlines,Quiet Spaces,Analytical Thinking,Cycling,Baking,Business Analyst,Slack,Python,Online,Collaborative,No,Yes
Timothy Hall,Binary,USA,18-21,Bachelor's,Sem 3,"Literature, Physics, Mathematics, Sociology",Group,"Sun (2pm-6pm), Wed (4pm-7pm), Tue (3pm-6pm)",Auditory,Deadlines,Group Study Rooms,Analytical Thinking,Music,Community Service,Supply Chain Manager,Slack,Animation Tools,In-person,Relaxed,No,Yes
Kari Choi,Male,Japan,21-25,Bachelor's,Sem 2,"Political Science, History, Economics, Literature",Group,"Sun (1pm-5pm), Wed (10am-1pm), Tue (1pm-3pm)",Auditory,Competition,Quiet Spaces,Research,Sports,Community Service,Business Analyst,In-Person,Excel,Online,Competitive,No,Yes
Shirley Taylor,Male,France,21-25,Bachelor's,Sem 3,"Economics, Mathematics, Literature, Geography",Group,"Sun (1pm-5pm), Wed (8am-12pm), Tue (1pm-4pm)",Kinesthetic,Personal Goals,Group Study Rooms,Time Management,Robotics,Art Exhibitions,Business Analyst,WhatsApp,Office 365,Online,Relaxed,No,No
Jonathan Campbell,Prefer Not to Say,Mexico,18-21,Master's,Sem 1,"International Business, Urban Development, Artificial Intelligence, Machine Learning",Group,"Sun (5pm-6pm), Wed (3pm-6pm), Tue (12pm-3pm)",Visual,Collaboration,Group Study Rooms,Research,Sports,Travel,Supply Chain Manager,In-Person,Animation Tools,Online,Focused,No,No
Sarah Brown,Binary,Ireland,25+,Master's,Sem 5,"Urban Development, Artificial Intelligence, Business Administration, International Business",Individual,"Sun (3pm-6pm), Wed (3pm-7pm), Tue (3pm-4pm)",Auditory,Personal Goals,Library,Time Management,Photography,DJ,Project Manager,Slack,Excel,Online,Focused,Yes,Yes
Jacqueline Evans,Binary,Germany,18-21,Bachelor's,Sem 6,"Computer Science, Chemistry, Political Science, Psychology",Group,"Sun (8am-10am), Wed (3pm-5pm), Tue (1pm-4pm)",Reading/Writing,Competition,Library,Presentation,Painting,DJ,Data Scientist,In-Person,Editing Tools,Online,Focused,No,No
Melissa Cox,Male,South Africa,18-21,Master's,Sem 6,"Mechanical Engineering, Degin Futere, Data Science, Urban Development",Group,"Sun (10am-1pm), Wed (10am-12pm), Tue (9am-10am)",Auditory,Deadlines,Quiet Spaces,Research,Chess,Philosophy,Business Analyst,Slack,Python,In-person,Focused,No,No
Leah Dickson,Prefer Not to Say,Australia,25+,Bachelor's,Sem 1,"Psychology, Geography, Political Science, Economics",Individual,"Sun (11am-12pm), Wed (11am-12pm), Tue (4pm-8pm)",Kinesthetic,Collaboration,Quiet Spaces,Research,Robotics,Wildlife Conservation,Project Manager,WhatsApp,Python,Online,Competitive,No,No
